,2016,2017,2018,2019,2020,2021,2022,2023,2024
January,134653,126517,118585,120964,114518,13530,36496,82041,107322
February,124534,124570,120498,121856,114241,11930,44531,80625,102957
March,134126,119236,116213,121569,45602,13498,57827,82163,108131
April,130110,121911,120507,120505,2397,16942,62834,85092,104339
May,120768,121585,121933,115277,2724,21322,62675,93490,109339
June,141473,126323,122911,121470,5044,25774,66188,92935,118107
July,134236,134934,120976,119129,10985,29544,67614,93071,109430
August,131070,124665,120920,120280,13142,33480,74664,92751,104200
September,128661,126314,120853,120823,14539,46608,82430,91259,113439
October,135485,125295,121770,121403,15765,51731,84004,98205,110071
November,125491,123523,121301,116978,17146,53435,79774,99281,108200
December,124198,120568,121247,115399,13353,44557,73425,95996,105400